Elapsed time;MLII
0.000;-0.145
0.003;-0.145
0.006;-0.145
0.008;-0.145
0.011;-0.145
0.014;-0.145
0.017;-0.145
0.019;-0.145
0.022;-0.120
0.025;-0.135
0.028;-0.145
0.031;-0.150
0.033;-0.160
0.036;-0.155
0.039;-0.160
0.042;-0.175
0.044;-0.180
0.047;-0.185
0.050;-0.170
0.053;-0.155
0.056;-0.175
0.058;-0.180
0.061;-0.190
0.064;-0.180
0.067;-0.155
0.069;-0.135
0.072;-0.155
0.075;-0.190
0.078;-0.205
0.081;-0.235
0.083;-0.225
0.086;-0.245
0.089;-0.250
0.092;-0.260
0.094;-0.275
0.097;-0.275
0.100;-0.275
0.103;-0.265
0.106;-0.255
0.108;-0.265
0.111;-0.275
0.114;-0.290
0.117;-0.290
0.119;-0.290
0.122;-0.290
0.125;-0.285
0.128;-0.295
0.131;-0.305
0.133;-0.285
0.136;-0.275
0.139;-0.275
0.142;-0.280
0.144;-0.285
0.147;-0.305
0.150;-0.290
0.153;-0.300
0.156;-0.280
0.158;-0.290
0.161;-0.300
0.164;-0.315
0.167;-0.320
0.169;-0.335
0.172;-0.360
0.175;-0.385
0.178;-0.385
0.181;-0.405
0.183;-0.455
0.186;-0.485
0.189;-0.485
0.192;-0.425
0.194;-0.330
0.197;-0.220
0.200;-0.070
0.203;0.120
0.206;0.375
0.208;0.620
0.211;0.780
0.214;0.840
0.217;0.765
0.219;0.520
0.222;0.170
0.225;-0.165
0.228;-0.365
0.231;-0.435
0.233;-0.425
0.236;-0.370
0.239;-0.330
0.242;-0.325
0.244;-0.335
0.247;-0.345
0.250;-0.330
0.253;-0.325
0.256;-0.315
0.258;-0.310
0.261;-0.320
0.264;-0.335
0.267;-0.340
0.269;-0.325
0.272;-0.345
0.275;-0.335
0.278;-0.330
0.281;-0.335
0.283;-0.330
0.286;-0.325
0.289;-0.330
0.292;-0.330
0.294;-0.345
0.297;-0.355
0.300;-0.335
0.303;-0.325
0.306;-0.305
0.308;-0.320
0.311;-0.320
0.314;-0.330
0.317;-0.340
0.319;-0.335
0.322;-0.340
0.325;-0.345
0.328;-0.355
0.331;-0.355
0.333;-0.340
0.336;-0.330
0.339;-0.330
0.342;-0.330
0.344;-0.340
0.347;-0.350
0.350;-0.325
0.353;-0.325
0.356;-0.330
0.358;-0.330
0.361;-0.335
0.364;-0.335
0.367;-0.340
0.369;-0.330
0.372;-0.340
0.375;-0.350
0.378;-0.355
0.381;-0.350
0.383;-0.345
0.386;-0.330
0.389;-0.320
0.392;-0.335
0.394;-0.330
0.397;-0.345
0.400;-0.330
0.403;-0.335
0.406;-0.335
0.408;-0.345
0.411;-0.345
0.414;-0.355
0.417;-0.340
0.419;-0.340
0.422;-0.335
0.425;-0.330
0.428;-0.350
0.431;-0.350
0.433;-0.345
0.436;-0.335
0.439;-0.335
0.442;-0.335
0.444;-0.350
0.447;-0.355
0.450;-0.355
0.453;-0.345
0.456;-0.345
0.458;-0.335
0.461;-0.350
0.464;-0.360
0.467;-0.360
0.469;-0.360
0.472;-0.365
0.475;-0.360
0.478;-0.370
0.481;-0.385
0.483;-0.370
0.486;-0.360
0.489;-0.355
0.492;-0.360
0.494;-0.375
0.497;-0.375
0.500;-0.365
0.503;-0.365
0.506;-0.360
0.508;-0.360
0.511;-0.365
0.514;-0.370
0.517;-0.355
0.519;-0.330
0.522;-0.325
0.525;-0.325
0.528;-0.335
0.531;-0.340
0.533;-0.315
0.536;-0.300
0.539;-0.300
0.542;-0.290
0.544;-0.295
0.547;-0.290
0.550;-0.285
0.553;-0.275
0.556;-0.255
0.558;-0.250
0.561;-0.250
0.564;-0.265
0.567;-0.255
0.569;-0.245
0.572;-0.230
0.575;-0.245
0.578;-0.245
0.581;-0.255
0.583;-0.255
0.586;-0.240
0.589;-0.250
0.592;-0.255
0.594;-0.245
0.597;-0.255
0.600;-0.250
0.603;-0.250
0.606;-0.265
0.608;-0.260
0.611;-0.260
0.614;-0.265
0.617;-0.270
0.619;-0.265
0.622;-0.260
0.625;-0.275
0.628;-0.280
0.631;-0.290
0.633;-0.275
0.636;-0.270
0.639;-0.260
0.642;-0.280
0.644;-0.280
0.647;-0.285
0.650;-0.275
0.653;-0.275
0.656;-0.265
0.658;-0.270
0.661;-0.285
0.664;-0.290
0.667;-0.280
0.669;-0.275
0.672;-0.285
0.675;-0.280
0.678;-0.300
0.681;-0.300
0.683;-0.305
0.686;-0.295
0.689;-0.300
0.692;-0.310
0.694;-0.310
0.697;-0.305
0.700;-0.295
0.703;-0.285
0.706;-0.285
0.708;-0.290
0.711;-0.295
0.714;-0.310
0.717;-0.290
0.719;-0.295
0.722;-0.300
0.725;-0.305
0.728;-0.310
0.731;-0.325
0.733;-0.310
0.736;-0.300
0.739;-0.290
0.742;-0.310
0.744;-0.325
0.747;-0.330
0.750;-0.315
0.753;-0.300
0.756;-0.305
0.758;-0.310
0.761;-0.320
0.764;-0.330
0.767;-0.325
0.769;-0.315
0.772;-0.310
0.775;-0.305
0.778;-0.305
0.781;-0.310
0.783;-0.300
0.786;-0.305
0.789;-0.290
0.792;-0.300
0.794;-0.300
0.797;-0.305
0.800;-0.305
0.803;-0.290
0.806;-0.280
0.808;-0.295
0.811;-0.305
0.814;-0.315
0.817;-0.305
0.819;-0.295
0.822;-0.290
0.825;-0.280
0.828;-0.270
0.831;-0.275
0.833;-0.275
0.836;-0.270
0.839;-0.250
0.842;-0.250
0.844;-0.255
0.847;-0.225
0.850;-0.220
0.853;-0.205
0.856;-0.200
0.858;-0.205
0.861;-0.215
0.864;-0.230
0.867;-0.220
0.869;-0.225
0.872;-0.225
0.875;-0.225
0.878;-0.230
0.881;-0.235
0.883;-0.240
0.886;-0.235
0.889;-0.220
0.892;-0.210
0.894;-0.205
0.897;-0.245
0.900;-0.285
0.903;-0.285
0.906;-0.300
0.908;-0.310
0.911;-0.330
0.914;-0.330
0.917;-0.325
0.919;-0.315
0.922;-0.320
0.925;-0.315
0.928;-0.325
0.931;-0.340
0.933;-0.345
0.936;-0.340
0.939;-0.340
0.942;-0.350
0.944;-0.345
0.947;-0.355
0.950;-0.330
0.953;-0.335
0.956;-0.330
0.958;-0.320
0.961;-0.345
0.964;-0.355
0.967;-0.340
0.969;-0.330
0.972;-0.325
0.975;-0.330
0.978;-0.350
0.981;-0.365
0.983;-0.360
0.986;-0.380
0.989;-0.425
0.992;-0.445
0.994;-0.475
0.997;-0.510
1.000;-0.535
1.003;-0.505
1.006;-0.415
1.008;-0.300
1.011;-0.160
1.014;-0.015
1.017;0.235
1.019;0.490
1.022;0.720
1.025;0.875
1.028;0.940
1.031;0.905
1.033;0.755
1.036;0.490
1.039;0.165
1.042;-0.110
1.044;-0.270
1.047;-0.390
1.050;-0.450
1.053;-0.475
1.056;-0.455
1.058;-0.425
1.061;-0.390
1.064;-0.390
1.067;-0.385
1.069;-0.390
1.072;-0.380
1.075;-0.380
1.078;-0.380
1.081;-0.395
1.083;-0.385
1.086;-0.385
1.089;-0.385
1.092;-0.375
1.094;-0.395
1.097;-0.410
1.100;-0.410
1.103;-0.400
1.106;-0.395
1.108;-0.390
1.111;-0.405
1.114;-0.395
1.117;-0.385
1.119;-0.375
1.122;-0.390
1.125;-0.390
1.128;-0.405
1.131;-0.410
1.133;-0.410
1.136;-0.390
1.139;-0.390
1.142;-0.395
1.144;-0.405
1.147;-0.415
1.150;-0.400
1.153;-0.410
1.156;-0.405
1.158;-0.410
1.161;-0.415
1.164;-0.410
1.167;-0.400
1.169;-0.400
1.172;-0.395
1.175;-0.390
1.178;-0.405
1.181;-0.410
1.183;-0.390
1.186;-0.390
1.189;-0.385
1.192;-0.385
1.194;-0.410
1.197;-0.405
1.200;-0.395
1.203;-0.390
1.206;-0.375
1.208;-0.390
1.211;-0.395
1.214;-0.410
1.217;-0.400
1.219;-0.390
1.222;-0.390
1.225;-0.385
1.228;-0.405
1.231;-0.415
1.233;-0.415
1.236;-0.400
1.239;-0.395
1.242;-0.405
1.244;-0.415
1.247;-0.420
1.250;-0.420
1.253;-0.410
1.256;-0.415
1.258;-0.425
1.261;-0.420
1.264;-0.435
1.267;-0.430
1.269;-0.430
1.272;-0.420
1.275;-0.430
1.278;-0.450
1.281;-0.455
1.283;-0.450
1.286;-0.435
1.289;-0.445
1.292;-0.450
1.294;-0.455
1.297;-0.470
1.300;-0.460
1.303;-0.455
1.306;-0.450
1.308;-0.455
1.311;-0.470
1.314;-0.475
1.317;-0.460
1.319;-0.450
1.322;-0.445
1.325;-0.440
1.328;-0.435
1.331;-0.440
1.333;-0.410
1.336;-0.395
1.339;-0.370
1.342;-0.365
1.344;-0.360
1.347;-0.365
1.350;-0.340
1.353;-0.325
1.356;-0.315
1.358;-0.320
1.361;-0.330
1.364;-0.330
1.367;-0.320
1.369;-0.310
1.372;-0.300
1.375;-0.300
1.378;-0.320
1.381;-0.320
1.383;-0.315
1.386;-0.305
1.389;-0.305
1.392;-0.295
1.394;-0.320
1.397;-0.330
1.400;-0.305
1.403;-0.310
1.406;-0.300
1.408;-0.300
1.411;-0.320
1.414;-0.325
1.417;-0.310
1.419;-0.305
1.422;-0.315
1.425;-0.305
1.428;-0.315
1.431;-0.315
1.433;-0.310
1.436;-0.295
1.439;-0.290
1.442;-0.305
1.444;-0.310
1.447;-0.320
1.450;-0.315
1.453;-0.300
1.456;-0.315
1.458;-0.315
1.461;-0.315
1.464;-0.330
1.467;-0.315
1.469;-0.320
1.472;-0.315
1.475;-0.325
1.478;-0.335
1.481;-0.340
1.483;-0.335
1.486;-0.335
1.489;-0.330
1.492;-0.325
1.494;-0.345
1.497;-0.350
1.500;-0.345
1.503;-0.335
1.506;-0.330
1.508;-0.330
1.511;-0.345
1.514;-0.345
1.517;-0.345
1.519;-0.320
1.522;-0.330
1.525;-0.335
1.528;-0.340
1.531;-0.355
1.533;-0.335
1.536;-0.330
1.539;-0.330
1.542;-0.335
1.544;-0.355
1.547;-0.360
1.550;-0.355
1.553;-0.350
1.556;-0.340
1.558;-0.345
1.561;-0.345
1.564;-0.345
1.567;-0.345
1.569;-0.330
1.572;-0.330
1.575;-0.335
1.578;-0.345
1.581;-0.350
1.583;-0.350
1.586;-0.340
1.589;-0.330
1.592;-0.345
1.594;-0.345
1.597;-0.355
1.600;-0.350
1.603;-0.340
1.606;-0.330
1.608;-0.340
1.611;-0.340
1.614;-0.340
1.617;-0.330
1.619;-0.335
1.622;-0.330
1.625;-0.335
1.628;-0.345
1.631;-0.345
1.633;-0.340
1.636;-0.330
1.639;-0.315
1.642;-0.295
1.644;-0.300
1.647;-0.295
1.650;-0.285
1.653;-0.275
1.656;-0.265
1.658;-0.265
1.661;-0.265
1.664;-0.255
1.667;-0.250
1.669;-0.240
1.672;-0.225
1.675;-0.215
1.678;-0.240
1.681;-0.245
1.683;-0.240
1.686;-0.245
1.689;-0.235
1.692;-0.245
1.694;-0.250
1.697;-0.275
1.700;-0.275
1.703;-0.265
1.706;-0.250
1.708;-0.225
1.711;-0.220
1.714;-0.230
1.717;-0.265
1.719;-0.270
1.722;-0.280
1.725;-0.285
1.728;-0.305
1.731;-0.320
1.733;-0.340
1.736;-0.330
1.739;-0.335
1.742;-0.335
1.744;-0.355
1.747;-0.370
1.750;-0.360
1.753;-0.345
1.756;-0.350
1.758;-0.355
1.761;-0.365
1.764;-0.375
1.767;-0.380
1.769;-0.370
1.772;-0.365
1.775;-0.365
1.778;-0.380
1.781;-0.385
1.783;-0.380
1.786;-0.375
1.789;-0.355
1.792;-0.370
1.794;-0.390
1.797;-0.405
1.800;-0.410
1.803;-0.435
1.806;-0.465
1.808;-0.490
1.811;-0.520
1.814;-0.555
1.817;-0.570
1.819;-0.525
1.822;-0.405
1.825;-0.250
1.828;-0.090
1.831;0.120
1.833;0.410
1.836;0.690
1.839;0.885
1.842;0.960
1.844;0.850
1.847;0.520
1.850;0.050
1.853;-0.320
1.856;-0.500
1.858;-0.505
1.861;-0.445
1.864;-0.415
1.867;-0.395
1.869;-0.390
1.872;-0.395
1.875;-0.390
1.878;-0.395
1.881;-0.405
1.883;-0.395
1.886;-0.405
1.889;-0.390
1.892;-0.395
1.894;-0.395
1.897;-0.410
1.900;-0.405
1.903;-0.400
1.906;-0.400
1.908;-0.415
1.911;-0.405
1.914;-0.420
1.917;-0.415
1.919;-0.405
1.922;-0.405
1.925;-0.420
1.928;-0.420
1.931;-0.435
1.933;-0.420
1.936;-0.410
1.939;-0.410
1.942;-0.405
1.944;-0.425
1.947;-0.430
1.950;-0.420
1.953;-0.415
1.956;-0.410
1.958;-0.410
1.961;-0.425
1.964;-0.420
1.967;-0.400
1.969;-0.395
1.972;-0.400
1.975;-0.400
1.978;-0.395
1.981;-0.415
1.983;-0.405
1.986;-0.390
1.989;-0.400
1.992;-0.400
1.994;-0.415
1.997;-0.425
2.000;-0.425
2.003;-0.415
2.006;-0.415
2.008;-0.410
2.011;-0.425
2.014;-0.425
2.017;-0.420
2.019;-0.415
2.022;-0.400
2.025;-0.400
2.028;-0.410
2.031;-0.425
2.033;-0.410
2.036;-0.405
2.039;-0.395
2.042;-0.400
2.044;-0.400
2.047;-0.405
2.050;-0.385
2.053;-0.400
2.056;-0.390
2.058;-0.390
2.061;-0.400
2.064;-0.415
2.067;-0.405
2.069;-0.405
2.072;-0.410
2.075;-0.415
2.078;-0.420
2.081;-0.420
2.083;-0.425
2.086;-0.415
2.089;-0.415
2.092;-0.410
2.094;-0.435
2.097;-0.430
2.100;-0.435
2.103;-0.420
2.106;-0.420
2.108;-0.420
2.111;-0.420
2.114;-0.425
2.117;-0.425
2.119;-0.415
2.122;-0.395
2.125;-0.395
2.128;-0.390
2.131;-0.375
2.133;-0.360
2.136;-0.340
2.139;-0.335
2.142;-0.330
2.144;-0.335
2.147;-0.335
2.150;-0.325
2.153;-0.320
2.156;-0.305
2.158;-0.305
2.161;-0.315
2.164;-0.310
2.167;-0.305
2.169;-0.300
2.172;-0.300
2.175;-0.300
2.178;-0.310
2.181;-0.310
2.183;-0.310
2.186;-0.315
2.189;-0.300
2.192;-0.305
2.194;-0.315
2.197;-0.320
2.200;-0.325
2.203;-0.310
2.206;-0.305
2.208;-0.305
2.211;-0.320
2.214;-0.325
2.217;-0.305
2.219;-0.310
2.222;-0.295
2.225;-0.310
2.228;-0.325
2.231;-0.330
2.233;-0.320
2.236;-0.320
2.239;-0.320
2.242;-0.325
2.244;-0.350
2.247;-0.350
2.250;-0.340
2.253;-0.335
2.256;-0.330
2.258;-0.335
2.261;-0.340
2.264;-0.360
2.267;-0.350
2.269;-0.350
2.272;-0.355
2.275;-0.360
2.278;-0.355
2.281;-0.365
2.283;-0.355
2.286;-0.350
2.289;-0.340
2.292;-0.355
2.294;-0.350
2.297;-0.365
2.300;-0.365
2.303;-0.350
2.306;-0.355
2.308;-0.350
2.311;-0.370
2.314;-0.380
2.317;-0.370
2.319;-0.360
2.322;-0.365
2.325;-0.360
2.328;-0.365
2.331;-0.380
2.333;-0.370
2.336;-0.365
2.339;-0.350
2.342;-0.350
2.344;-0.350
2.347;-0.370
2.350;-0.365
2.353;-0.345
2.356;-0.345
2.358;-0.340
2.361;-0.355
2.364;-0.365
2.367;-0.360
2.369;-0.355
2.372;-0.355
2.375;-0.355
2.378;-0.375
2.381;-0.385
2.383;-0.355
2.386;-0.360
2.389;-0.355
2.392;-0.360
2.394;-0.360
2.397;-0.370
2.400;-0.360
2.403;-0.345
2.406;-0.355
2.408;-0.345
2.411;-0.345
2.414;-0.345
2.417;-0.340
2.419;-0.310
2.422;-0.305
2.425;-0.305
2.428;-0.310
2.431;-0.305
2.433;-0.290
2.436;-0.285
2.439;-0.275
2.442;-0.280
2.444;-0.280
2.447;-0.275
2.450;-0.265
2.453;-0.255
2.456;-0.245
2.458;-0.260
2.461;-0.265
2.464;-0.275
2.467;-0.280
2.469;-0.265
2.472;-0.270
2.475;-0.275
2.478;-0.280
2.481;-0.275
2.483;-0.280
2.486;-0.275
2.489;-0.265
2.492;-0.255
2.494;-0.240
2.497;-0.260
2.500;-0.280
2.503;-0.310
2.506;-0.310
2.508;-0.345
2.511;-0.360
2.514;-0.380
2.517;-0.385
2.519;-0.380
2.522;-0.370
2.525;-0.375
2.528;-0.385
2.531;-0.390
2.533;-0.395
2.536;-0.385
2.539;-0.385
2.542;-0.385
2.544;-0.395
2.547;-0.405
2.550;-0.400
2.553;-0.375
2.556;-0.375
2.558;-0.390
2.561;-0.395
2.564;-0.415
2.567;-0.405
2.569;-0.400
2.572;-0.390
2.575;-0.405
2.578;-0.425
2.581;-0.460
2.583;-0.475
2.586;-0.505
2.589;-0.510
2.592;-0.525
2.594;-0.540
2.597;-0.600
2.600;-0.645
2.603;-0.630
2.606;-0.575
2.608;-0.495
2.611;-0.385
2.614;-0.270
2.617;-0.115
2.619;0.090
2.622;0.370
2.625;0.635
2.628;0.810
2.631;0.860
2.633;0.770
2.636;0.475
2.639;0.065
2.642;-0.305
2.644;-0.500
2.647;-0.520
2.650;-0.475
2.653;-0.410
2.656;-0.390
2.658;-0.390
2.661;-0.400
2.664;-0.410
2.667;-0.405
2.669;-0.385
2.672;-0.390
2.675;-0.395
2.678;-0.405
2.681;-0.410
2.683;-0.405
2.686;-0.400
2.689;-0.390
2.692;-0.395
2.694;-0.410
2.697;-0.415
2.700;-0.410
2.703;-0.395
2.706;-0.405
2.708;-0.410
2.711;-0.405
2.714;-0.405
2.717;-0.410
2.719;-0.390
2.722;-0.385
2.725;-0.390
2.728;-0.395
2.731;-0.400
2.733;-0.400
2.736;-0.400
2.739;-0.395
2.742;-0.395
2.744;-0.405
2.747;-0.405
2.750;-0.400
2.753;-0.395
2.756;-0.385
2.758;-0.375
2.761;-0.385
2.764;-0.395
2.767;-0.390
2.769;-0.385
2.772;-0.375
2.775;-0.385
2.778;-0.395
2.781;-0.395
2.783;-0.385
2.786;-0.375
2.789;-0.375
2.792;-0.385
2.794;-0.395
2.797;-0.390
2.800;-0.390
2.803;-0.365
2.806;-0.375
2.808;-0.385
2.811;-0.395
2.814;-0.380
2.817;-0.385
2.819;-0.375
2.822;-0.380
2.825;-0.390
2.828;-0.380
2.831;-0.375
2.833;-0.375
2.836;-0.375
2.839;-0.375
2.842;-0.380
2.844;-0.390
2.847;-0.390
2.850;-0.365
2.853;-0.370
2.856;-0.375
2.858;-0.385
2.861;-0.390
2.864;-0.390
2.867;-0.375
2.869;-0.365
2.872;-0.385
2.875;-0.380
2.878;-0.390
2.881;-0.375
2.883;-0.375
2.886;-0.365
2.889;-0.370
2.892;-0.385
2.894;-0.395
2.897;-0.385
2.900;-0.385
2.903;-0.370
2.906;-0.365
2.908;-0.370
2.911;-0.375
2.914;-0.350
2.917;-0.335
2.919;-0.320
2.922;-0.315
2.925;-0.320
2.928;-0.325
2.931;-0.315
2.933;-0.295
2.936;-0.285
2.939;-0.300
2.942;-0.295
2.944;-0.285
2.947;-0.285
2.950;-0.280
2.953;-0.270
2.956;-0.280
2.958;-0.290
2.961;-0.295
2.964;-0.295
2.967;-0.290
2.969;-0.280
2.972;-0.290
2.975;-0.295
2.978;-0.310
2.981;-0.295
2.983;-0.285
2.986;-0.280
2.989;-0.275
2.992;-0.295
2.994;-0.305
2.997;-0.300
3.000;-0.295
3.003;-0.295
3.006;-0.285
3.008;-0.300
3.011;-0.305
3.014;-0.300
3.017;-0.295
3.019;-0.300
3.022;-0.305
3.025;-0.315
3.028;-0.310
3.031;-0.315
3.033;-0.295
3.036;-0.300
3.039;-0.310
3.042;-0.330
3.044;-0.340
3.047;-0.330
3.050;-0.320
3.053;-0.320
3.056;-0.315
3.058;-0.325
3.061;-0.335
3.064;-0.330
3.067;-0.315
3.069;-0.320
3.072;-0.320
3.075;-0.330
3.078;-0.345
3.081;-0.340
3.083;-0.335
3.086;-0.330
3.089;-0.335
3.092;-0.345
3.094;-0.350
3.097;-0.345
3.100;-0.340
3.103;-0.335
3.106;-0.335
3.108;-0.330
3.111;-0.335
3.114;-0.340
3.117;-0.335
3.119;-0.320
3.122;-0.340
3.125;-0.340
3.128;-0.350
3.131;-0.365
3.133;-0.360
3.136;-0.345
3.139;-0.345
3.142;-0.350
3.144;-0.350
3.147;-0.350
3.150;-0.340
3.153;-0.340
3.156;-0.345
3.158;-0.345
3.161;-0.380
3.164;-0.360
3.167;-0.360
3.169;-0.345
3.172;-0.345
3.175;-0.350
3.178;-0.355
3.181;-0.345
3.183;-0.330
3.186;-0.330
3.189;-0.335
3.192;-0.335
3.194;-0.340
3.197;-0.330
3.200;-0.320
3.203;-0.290
3.206;-0.290
3.208;-0.300
3.211;-0.305
3.214;-0.285
3.217;-0.280
3.219;-0.275
3.222;-0.280
3.225;-0.275
3.228;-0.270
3.231;-0.265
3.233;-0.250
3.236;-0.230
3.239;-0.245
3.242;-0.240
3.244;-0.255
3.247;-0.255
3.250;-0.245
3.253;-0.235
3.256;-0.255
3.258;-0.265
3.261;-0.260
3.264;-0.255
3.267;-0.270
3.269;-0.265
3.272;-0.280
3.275;-0.255
3.278;-0.250
3.281;-0.245
3.283;-0.265
3.286;-0.280
3.289;-0.300
3.292;-0.315
3.294;-0.325
3.297;-0.335
3.300;-0.345
3.303;-0.330
3.306;-0.335
3.308;-0.345
3.311;-0.360
3.314;-0.350
3.317;-0.340
3.319;-0.335
3.322;-0.345
3.325;-0.360
3.328;-0.365
